LOCID,LOC_with_putative_gene_name
MT-DR311-mgt01,MT-DR311-mgt01
MT-DR311-mgr02,MT-DR311-mgr02
MT-DR311-mgt02,MT-DR311-mgt02
MT-DR311-mgt03,MT-DR311-mgt03
MT-DR311-mgt04,MT-DR311-mgt04
MT-DR311-mgt05,MT-DR311-mgt05
MT-DR311-mgt06,MT-DR311-mgt06
MT-DR311-mgt07,MT-DR311-mgt07
MT-DR311-mgt08,MT-DR311-mgt08
MT-DR311-mgt09,MT-DR311-mgt09
MT-DR311-mgt10,MT-DR311-mgt10
MT-DR311-mgt11,MT-DR311-mgt11
MT-DR311-mgt12,MT-DR311-mgt12
MT-DR311-mgt13,MT-DR311-mgt13
MT-DR311-mgt15,MT-DR311-mgt15
MT-ND1,MT-ND1
MT-ND2,MT-ND2
MT-DR311-mgr01,MT-DR311-mgr01
MT-COX1,MT-COX1
MT-DR311-mgt18,MT-DR311-mgt18
MT-ND4L,MT-ND4L
MT-COX2,MT-COX2
MT-DR311-mgt19,MT-DR311-mgt19
MT-ATP8,MT-ATP8
MT-ATP6,MT-ATP6
MT-COX3,MT-COX3
MT-DR311-mgt20,MT-DR311-mgt20
MT-ND3,MT-ND3
MT-ND4,MT-ND4
MT-DR311-mgt22,MT-DR311-mgt22
MT-ND5,MT-ND5
MT-ND6,MT-ND6
MT-CYTB,MT-CYTB
LOC121406606,LOC121406606:none
LOC121408363,LOC121408363:NA
LOC121406625,LOC121406625:Nlr8
LOC121405891,LOC121405891:none
LOC121410753,LOC121410753:Helz2L4
LOC121423688,LOC121423688:Helz2L3-1
LOC121411192,LOC121411192:Wwc1
LOC121411314,LOC121411314:ReelerL-6
LOC121411439,LOC121411439:Hypp-532
LOC121409890,LOC121409890:Hypp-1413
LOC121405943,LOC121405943:Hypp-1413
LOC121412131,LOC121412131:Ogt
LOC121412564,LOC121412564:Dis3-2
LOC121412948,LOC121412948:Dis3-2
LOC121413044,LOC121413044:Exoc1
LOC121413249,LOC121413249:Tdo2-1
LOC121413333,LOC121413333:Ctso
LOC121413418,LOC121413418:Hypp-703
LOC121413512,LOC121413512:Hypp-2069
LOC121413641,LOC121413641:Asah1-1
LOC121413733,LOC121413733:Cyp46L3
LOC121413814,LOC121413814:Acsf2-1
LOC121413953,LOC121413953:Hypp3088
LOC121414043,LOC121414043:Narg1
LOC121414334,LOC121414334:Pde2a
LOC121414476,LOC121414476:none
LOC121414569,LOC121414569:Helz2L3-1
LOC121415003,LOC121415003:Brca2
LOC121415227,LOC121415227:Scdfr2L-2
LOC121415326,LOC121415326:Ccdc22
LOC121415523,LOC121415523:Gm2a
LOC121415599,LOC121415599:Hypp-93
LOC121415739,LOC121415739:Dclk1L
LOC121415967,LOC121415967:Pde2a
LOC121416164,LOC121416164:NA
LOC121416402,LOC121416402:Narg1
LOC121416520,LOC121416520:Hypp3088
LOC121416788,LOC121416788:Cyp46L3
LOC121416860,LOC121416860:Asah1-1
LOC121416948,LOC121416948:Hypp-2069
LOC121417036,LOC121417036:Hypp-703
LOC121417118,LOC121417118:Ctso
LOC121417287,LOC121417287:Exoc1
LOC121417481,LOC121417481:Dis3-2
LOC121417568,LOC121417568:Dis3-2
LOC121417658,LOC121417658:Ids-3
LOC121417809,LOC121417809:Ogt
LOC121418226,LOC121418226:Hypp-1413
LOC121418405,LOC121418405:Hypp-532
LOC121418533,LOC121418533:ReelerL-6
LOC121418703,LOC121418703:Wwc1
LOC121418768,LOC121418768:Ckap2L
LOC121418829,LOC121418829:Zfand2b
LOC121419020,LOC121419020:Zfand2b
LOC121419343,LOC121419343
LOC121419421,LOC121419421:Stard13
LOC121419827,LOC121419827:Klhl8-1
LOC121420201,LOC121420201:Elmod2
LOC121420372,LOC121420372:Fry
LOC121420993,LOC121420993:LgsnL14
LOC121421069,LOC121421069:LgsnL14
LOC121421146,LOC121421146:LgsnL14
LOC121421325,LOC121421325:Gst
LOC121421422,LOC121421422:Mgst5
LOC121421589,LOC121421589:none
LOC121421798,LOC121421798:Yipf5
LOC121422147,LOC121422147:Fbxo8
LOC121422240,LOC121422240:none
LOC121422050,LOC121422050:Hypp-3010
LOC121422548,LOC121422548:Cwf19l2
LOC121422639,LOC121422639:Hypp-1200
LOC121422787,LOC121422787:Rnf14
LOC121422930,LOC121422930:Cadherin-9
LOC121423369,LOC121423369:Dachs
LOC121423469,LOC121423469:none
LOC121423792,LOC121423792:Mtmr1/2
LOC121423879,LOC121423879:Mgst2
LOC121424023,LOC121424023:Glyt
LOC121424110,LOC121424110:Glyt
LOC121424312,LOC121424312:Grxcr1L
LOC121424392,LOC121424392:Hypp-912
LOC121424707,LOC121424707:none
LOC121424793,LOC121424793:Hypp-2773
LOC121425010,LOC121425010:none
LOC121425241,LOC121425241:Wdr55
LOC121425089,LOC121425089:Cyfip2
LOC121425503,LOC121425503:Tcfap4L
LOC121426211,LOC121426211:Iswi
LOC121426430,LOC121426430:Hypp-1126
LOC121426871,LOC121426871
LOC121427157,LOC121427157:Acsf2-2
LOC121427236,LOC121427236:Acsf2
LOC121427313,LOC121427313:Tmem144
LOC121427397,LOC121427397:Lias-1
LOC121427529,LOC121427529:none
LOC121427611,LOC121427611:Ttc6
LOC121406007,LOC121406007:Hand
LOC121427866,LOC121427866:none
LOC121428023,LOC121428023
LOC121428118,LOC121428118:Hypp-2773
LOC121428346,LOC121428346:Frmpd4
ribo-LOC121428997,ribo-LOC121428997:none
LOC121429334,LOC121429334:Grx1L
LOC121406044,LOC121406044
LOC121429626,LOC121429626:none
LOC121429707,LOC121429707:TnfrsfL5
LOC121426240,LOC121426240:Rhogap6
LOC121429830,LOC121429830:Hypp-471
LOC121430017,LOC121430017:Efha1
LOC121430445,LOC121430445:Commd6
LOC121430529,LOC121430529:Hypp-2533
LOC121430614,LOC121430614:Hypp-2533
LOC121430694,LOC121430694:Nudt6
LOC121430772,LOC121430772:Ndfip1l
LOC121430850,LOC121430850:NA
LOC121430949,LOC121430949:Lonrf3
LOC121431277,LOC121431277:Qpc
LOC121431364,LOC121431364:Plrg1
LOC121431528,LOC121431528:Hypp-28
LOC121431607,LOC121431607
LOC121431811,LOC121431811:Snx25-1
LOC121431946,LOC121431946:Fpgt
LOC121432038,LOC121432038:Klf7
LOC121432120,LOC121432120
LOC121405556,LOC121405556:Slc30a9
LOC121405974,LOC121405974:Glur2
LOC121406135,LOC121406135:Mgat4b
LOC121406299,LOC121406299:Lrr/Igr-9
LOC121430580,LOC121430580:Prcp
LOC121406382,LOC121406382:NA
LOC121406440,LOC121406440:Krp85
LOC121406469,LOC121406469:Clock
LOC121406487,LOC121406487:Fbw7
LOC121406511,LOC121406511:AsicL3
LOC121406539,LOC121406539:Chst12L
LOC121406568,LOC121406568:NA
LOC121406628,LOC121406628:Gab
LOC121406650,LOC121406650:Solh
LOC121406666,LOC121406666:Lrrc59
LOC121406698,LOC121406698:Larp1
